Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
0.677660882,0,313.6976013
0.850723088,0,259.1706848
0.778628528,0,265.1947937
0.66154331,0,239.1564026
0.662026227,0,246.4013062
0.736934721,0,215.3847961
0.370373189,0,238.1040955
0.665686607,0,257.1151123
0.460825413,0,73.79194641
0.943695188,0,34.12083817
0.963562727,0,333.9639893
1.55261898,0,277.8475952
2.17685008,0,267.066803
1.629364967,0,238.489502
0.813819528,0,90.45394897
0.5694592,0,63.36355972
0.97145462,0,218.2781982
0.521273315,0,129.1246948
0.338039011,0,107.9205017
0.53250438,0,127.8466034
0.552247524,0,128.9541931
1.139093041,0,143.7068939
2.34425211,0,134.9770966
3.646318913,70.10045613,134.4564972
4.016671181,126.1014106,133.6049042
3.279254913,31.17482176,125.3523026
2.305548906,0,94.77848816
1.726174951,0,51.57822037
1.396111012,0,320.4632874
1.413828969,0,354.765686
0.808616281,0,33.77170944
0.29050979,0,118.9788971
0.638341486,0,147.8424988
0.984448314,0,152.720993
0.657420874,0,185.0466003
0.865311384,0,182.5706024
0.809088707,0,169.2873993
1.034098029,0,163.4824066
0.641550899,0,285.8124084
0.314508796,0,281.0539856
0.873369873,0,201.6215057
0.974539876,0,171.9019928
1.88746202,0,217.5924072
1.255934954,0,177.1208954
0.957294524,0,143.9730988
0.485388905,0,31.72039986
0.601248026,0,175.8845062
0.963453293,0,150.7736969
0.806071997,0,135.6419983
0.74094522,0,240.0531006
1.083771944,0,159.2798004
1.890300035,0,155.6240997
2.490178108,0,154.5337982
2.476114035,0,160.6259003
2.532900095,0,150.0433044
1.890108943,0,161.0682983
1.419512987,0,152.5379944
2.389832973,0,162.8356018
3.577557087,61.16760188,0
2.365161896,0,183.9550018
2.718158007,0,163.5693054
2.991008997,0,164.8551025
2.708965063,0,151.5995026
2.902618885,0,149.5975952
2.552275896,0,155.1351013
1.633525968,0,180.2098999
2.866808891,0,197.8553009
3.762989044,86.98783194,200.7142029
3.556952,58.63810638,179.8724976
3.254215002,29.30490145,167.5404968
3.488528967,50.72577106,162.9709015
3.740334034,83.53824763,170.1101074
3.56308198,59.38352863,179.2691956
3.497584105,51.72988663,184.5984039
3.836231947,98.70213183,190.2328949
4.424263,206.1385051,204.7044983
4.620684147,247.9907755,208.401001
4.918453217,316.2160711,210.591095
4.851792812,300.407353,206.6618042
4.500104904,222.021905,205.4633942
4.208559036,162.7276378,204.4723053
3.656229973,71.45038131,201.0424957
3.522366047,54.54501646,203.9230042
3.467375994,48.43125736,201.9060974
2.949517965,0,204.9010925
3.386360884,40.30552688,206.5899963
3.338223934,35.97480027,198.7406006
3.96685791,121.7245906,191.4416962
4.383850098,197.8110634,194.6184998
3.818460941,95.78101512,191.8796997
4.460434914,213.6717407,199.0765076
4.318597794,184.5583621,201.6802979
4.51971817,226.1850754,195.0646973
4.845714092,298.9816628,193.9501953
